249, 879, 0, 497, 700
197, 832, 0, 60, 805
181, 888, 0, 371, 846
217, 1066, 0, 1688, 870
272, 1060, 0, 1563, 680
407, 1037, 0, 1429, 505
466, 1027, 0, 1390, 451
476, 1079, 0, 1592, 450
477, 975, 0, 1194, 435
376, 855, 0, 655, 506
436, 845, 0, 703, 447
477, 789, 0, 561, 413
477, 890, 0, 899, 423
586, 768, 0, 638, 346
586, 956, 0, 1166, 360
585, 1058, 0, 1487, 369
758, 787, 0, 827, 278
780, 965, 0, 1238, 278
999, 729, 0, 849, 217
968, 925, 0, 1180, 225
1185, 678, 0, 849, 186
1512, 760, 0, 1056, 150
